Incident_ID,Age,Gender,Race,School_Affiliation,Shooter_Outcome,Shooter_Died,Injury
19940301MOKEB,33,Male,Black,Intimate Relationship,Surrendered,false,None
19940218SCSPS,Adult,Male,,,Fled/Apprehended,false,None
19940208MIOSD,,,,,Fled/Escaped,false,None
19940131WAWHS,24,Male,White,Former Student,Fled/Apprehended,false,None
19940127CAWAS,Adult,Male,,No Relation,Fled/Apprehended,false,None
19940126DCPAW,Teen,Male,,,Fled/Apprehended,false,None
19940126DCELW,,,,,Fled/Escaped,false,None
19940124SCEAC,18,Male,Black,Student,Fled/Apprehended,false,None
19940121TXKEK,17,Male,,Student,Suicide,true,Suicide
19940120CALOH,Teen,Male,,Student,Fled/Escaped,false,None
19931217MICHC,Teen,Male,,Teacher,Surrendered,false,None
19931215CACHS,14,Male,,Student,Fled/Apprehended,false,None
19931208GABES,16,Male,,Nonstudent,Fled/Apprehended,false,None
19931202CTNEN,,Male,,,Fled/Escaped,false,None
